"subject" "activity" "variable" "average"
"150" 3 "WALKING" "tBodyAccJerkstdZ" -0.796066240234604
"151" 3 "WALKING" "tBodyGyromeanX" -0.0248490682828446
"152" 3 "WALKING" "tBodyGyromeanY" -0.0743565308442815
"153" 3 "WALKING" "tBodyGyromeanZ" 0.0866875497119062
"154" 3 "WALKING" "tBodyGyrostdX" -0.699262195705865
"155" 3 "WALKING" "tBodyGyrostdY" -0.76302218170088
"156" 3 "WALKING" "tBodyGyrostdZ" -0.709483440322581
"157" 3 "WALKING" "tBodyGyroJerkmeanX" -0.0991554609633431
"158" 3 "WALKING" "tBodyGyroJerkmeanY" -0.0401923943695015
"159" 3 "WALKING" "tBodyGyroJerkmeanZ" -0.0521178264170088
"160" 3 "WALKING" "tBodyGyroJerkstdX" -0.689328428607038
"161" 3 "WALKING" "tBodyGyroJerkstdY" -0.842659862111437
"162" 3 "WALKING" "tBodyGyroJerkstdZ" -0.743028500565982
"163" 3 "WALKING" "tBodyAccMagmean" -0.563140802770059
"164" 3 "WALKING" "tBodyAccMagstd" -0.591224780306452
"165" 3 "WALKING" "tGravityAccMagmean" -0.563140802770059
"166" 3 "WALKING" "tGravityAccMagstd" -0.591224780306452
"167" 3 "WALKING" "tBodyAccJerkMagmean" -0.650182434328446
"168" 3 "WALKING" "tBodyAccJerkMagstd" -0.607658214170381
"169" 3 "WALKING" "tBodyGyroMagmean" -0.643150121648094
"170" 3 "WALKING" "tBodyGyroMagstd" -0.674010290979472
"171" 3 "WALKING" "tBodyGyroJerkMagmean" -0.784056656246334
"172" 3 "WALKING" "tBodyGyroJerkMagstd" -0.80366136372434
"173" 3 "WALKING" "fBodyAccmeanX" -0.625733289873607
"174" 3 "WALKING" "fBodyAccmeanY" -0.501779938505279
"175" 3 "WALKING" "fBodyAccmeanZ" -0.699656828592375
"176" 3 "WALKING" "fBodyAccstdX" -0.623805015199413
"177" 3 "WALKING" "fBodyAccstdY" -0.502753639795894
"178" 3 "WALKING" "fBodyAccstdZ" -0.657443765803519
"179" 3 "WALKING" "fBodyAccJerkmeanX" -0.645893496630499
"180" 3 "WALKING" "fBodyAccJerkmeanY" -0.582949919157742
"181" 3 "WALKING" "fBodyAccJerkmeanZ" -0.780101644193548
"182" 3 "WALKING" "fBodyAccJerkstdX" -0.657844055881525
"183" 3 "WALKING" "fBodyAccJerkstdY" -0.559851186088408
"184" 3 "WALKING" "fBodyAccJerkstdZ" -0.81080601659824
"185" 3 "WALKING" "fBodyGyromeanX" -0.642097719778592
"186" 3 "WALKING" "fBodyGyromeanY" -0.775144985073314
"187" 3 "WALKING" "fBodyGyromeanZ" -0.670734708996481
"188" 3 "WALKING" "fBodyGyrostdX" -0.719276622702346
"189" 3 "WALKING" "fBodyGyrostdY" -0.758505287214076
"190" 3 "WALKING" "fBodyGyrostdZ" -0.751008875659824
"191" 3 "WALKING" "fBodyAccMagmean" -0.579076453758064
"192" 3 "WALKING" "fBodyAccMagstd" -0.663079838985044
"193" 3 "WALKING" "fBodyBodyAccJerkMagmean" -0.604752108072727
"194" 3 "WALKING" "fBodyBodyAccJerkMagstd" -0.615643694857361
"195" 3 "WALKING" "fBodyBodyGyroMagmean" -0.716822144279179
"196" 3 "WALKING" "fBodyBodyGyroMagstd" -0.703839403007038
"197" 3 "WALKING" "fBodyBodyGyroJerkMagmean" -0.810085498651026
"198" 3 "WALKING" "fBodyBodyGyroJerkMagstd" -0.810032718739003
"199" 4 "STANDING" "tBodyAccmeanX" 0.274183111498423
"200" 4 "STANDING" "tBodyAccmeanY" -0.0148081545344921
"201" 4 "STANDING" "tBodyAccmeanZ" -0.107521430810726
"202" 4 "STANDING" "tBodyAccstdX" -0.605211727785489
"203" 4 "STANDING" "tBodyAccstdY" -0.509929384011325
"204" 4 "STANDING" "tBodyAccstdZ" -0.709492735962145
"205" 4 "STANDING" "tGravityAccmeanX" 0.706593043123028
"206" 4 "STANDING" "tGravityAccmeanY" 0.112591195496986
"207" 4 "STANDING" "tGravityAccmeanZ" 0.164130896618297
"208" 4 "STANDING" "tGravityAccstdX" -0.962636979274448
"209" 4 "STANDING" "tGravityAccstdY" -0.941416800167192
"210" 4 "STANDING" "tGravityAccstdZ" -0.941403426072555
"211" 4 "STANDING" "tBodyAccJerkmeanX" 0.0788637845151419
"212" 4 "STANDING" "tBodyAccJerkmeanY" 0.00351340949514196
"213" 4 "STANDING" "tBodyAccJerkmeanZ" -0.00737375142832808
"214" 4 "STANDING" "tBodyAccJerkstdX" -0.631853083289621
"215" 4 "STANDING" "tBodyAccJerkstdY" -0.584063204701893
"216" 4 "STANDING" "tBodyAccJerkstdZ" -0.843353231167192
"217" 4 "STANDING" "tBodyGyromeanX" -0.0289417906907571
"218" 4 "STANDING" "tBodyGyromeanY" -0.0787229907785489
"219" 4 "STANDING" "tBodyGyromeanZ" 0.0957174866009464
"220" 4 "STANDING" "tBodyGyrostdX" -0.701397703369085
"221" 4 "STANDING" "tBodyGyrostdY" -0.79823574873817
"222" 4 "STANDING" "tBodyGyrostdZ" -0.726374197066246
"223" 4 "STANDING" "tBodyGyroJerkmeanX" -0.107859315713249
"224" 4 "STANDING" "tBodyGyroJerkmeanY" -0.0400427574662461
"225" 4 "STANDING" "tBodyGyroJerkmeanZ" -0.0578089304000631
"226" 4 "STANDING" "tBodyGyroJerkstdX" -0.723788617823344
"227" 4 "STANDING" "tBodyGyroJerkstdY" -0.902502592618297
"228" 4 "STANDING" "tBodyGyroJerkstdZ" -0.748369141315457
"229" 4 "STANDING" "tBodyAccMagmean" -0.56158213510694
"230" 4 "STANDING" "tBodyAccMagstd" -0.606556049548896
"231" 4 "STANDING" "tGravityAccMagmean" -0.56158213510694
"232" 4 "STANDING" "tGravityAccMagstd" -0.606556049548896
"233" 4 "STANDING" "tBodyAccJerkMagmean" -0.656116311856877
"234" 4 "STANDING" "tBodyAccJerkMagstd" -0.647249966810726
"235" 4 "STANDING" "tBodyGyroMagmean" -0.656291093847319
"236" 4 "STANDING" "tBodyGyroMagstd" -0.706738493542587
"237" 4 "STANDING" "tBodyGyroJerkMagmean" -0.819191368044164
"238" 4 "STANDING" "tBodyGyroJerkMagstd" -0.844187064164038
"239" 4 "STANDING" "fBodyAccmeanX" -0.628806379100946
"240" 4 "STANDING" "fBodyAccmeanY" -0.52583456615142
"241" 4 "STANDING" "fBodyAccmeanZ" -0.755235428895899
"242" 4 "STANDING" "fBodyAccstdX" -0.597551324155678
"243" 4 "STANDING" "fBodyAccstdY" -0.534661524341987
"244" 4 "STANDING" "fBodyAccstdZ" -0.708764043722397
"245" 4 "STANDING" "fBodyAccJerkmeanX" -0.652023078038801
"246" 4 "STANDING" "fBodyAccJerkmeanY" -0.601696223759495
"247" 4 "STANDING" "fBodyAccJerkmeanZ" -0.825154871135647
"248" 4 "STANDING" "fBodyAccJerkstdX" -0.644622004704416
"249" 4 "STANDING" "fBodyAccJerkstdY" -0.593855151524606
"250" 4 "STANDING" "fBodyAccJerkstdZ" -0.860544668359621
"251" 4 "STANDING" "fBodyGyromeanX" -0.641881977553943
"252" 4 "STANDING" "fBodyGyromeanY" -0.831527531009464
"253" 4 "STANDING" "fBodyGyromeanZ" -0.689308946422713
"254" 4 "STANDING" "fBodyGyrostdX" -0.721749187328076
"255" 4 "STANDING" "fBodyGyrostdY" -0.782885735867508
"256" 4 "STANDING" "fBodyGyrostdZ" -0.7670895729653
"257" 4 "STANDING" "fBodyAccMagmean" -0.602098037677603
"258" 4 "STANDING" "fBodyAccMagstd" -0.672948341687697
"259" 4 "STANDING" "fBodyBodyAccJerkMagmean" -0.63501900541041
"260" 4 "STANDING" "fBodyBodyAccJerkMagstd" -0.666506718936908
"261" 4 "STANDING" "fBodyBodyGyroMagmean" -0.745650754608833
"262" 4 "STANDING" "fBodyBodyGyroMagstd" -0.732586304826498
"263" 4 "STANDING" "fBodyBodyGyroJerkMagmean" -0.838833209652997
"264" 4 "STANDING" "fBodyBodyGyroJerkMagstd" -0.863096864037855
"265" 5 "WALKING" "tBodyAccmeanX" 0.279177960301325
"266" 5 "WALKING" "tBodyAccmeanY" -0.0154833455336192
"267" 5 "WALKING" "tBodyAccmeanZ" -0.105661736816887
"268" 5 "WALKING" "tBodyAccstdX" -0.507691011391722
"269" 5 "WALKING" "tBodyAccstdY" -0.402724906078146
"270" 5 "WALKING" "tBodyAccstdZ" -0.646443640175497
"271" 5 "WALKING" "tGravityAccmeanX" 0.698153719072848
"272" 5 "WALKING" "tGravityAccmeanY" 0.112313109736755
"273" 5 "WALKING" "tGravityAccmeanZ" 0.0921607197449904
"274" 5 "WALKING" "tGravityAccstdX" -0.964629108807947
"275" 5 "WALKING" "tGravityAccstdY" -0.939973777950331
"276" 5 "WALKING" "tGravityAccstdZ" -0.94207867884106
"277" 5 "WALKING" "tBodyAccJerkmeanX" 0.0841019899622517
"278" 5 "WALKING" "tBodyAccJerkmeanY" 0.0017656830384106
"279" 5 "WALKING" "tBodyAccJerkmeanZ" -0.0029537113427351
"280" 5 "WALKING" "tBodyAccJerkstdX" -0.575890535679801
"281" 5 "WALKING" "tBodyAccJerkstdY" -0.506544358609603
"282" 5 "WALKING" "tBodyAccJerkstdZ" -0.78456199486755
"283" 5 "WALKING" "tBodyGyromeanX" -0.0294516873643046
"284" 5 "WALKING" "tBodyGyromeanY" -0.0774316445596026
"285" 5 "WALKING" "tBodyGyromeanZ" 0.0866267116745033
"286" 5 "WALKING" "tBodyGyrostdX" -0.709955676983444
"287" 5 "WALKING" "tBodyGyrostdY" -0.705638306688742
"288" 5 "WALKING" "tBodyGyrostdZ" -0.606589817380795
"289" 5 "WALKING" "tBodyGyroJerkmeanX" -0.103522877147351
"290" 5 "WALKING" "tBodyGyroJerkmeanY" -0.0490624519374172
"291" 5 "WALKING" "tBodyGyroJerkmeanZ" -0.0506258160122517
"292" 5 "WALKING" "tBodyGyroJerkstdX" -0.662581310334437
"293" 5 "WALKING" "tBodyGyroJerkstdY" -0.774114270364238
"294" 5 "WALKING" "tBodyGyroJerkstdZ" -0.564680771249007
"295" 5 "WALKING" "tBodyAccMagmean" -0.460866415568709
"296" 5 "WALKING" "tBodyAccMagstd" -0.52162345171192
"297" 5 "WALKING" "tGravityAccMagmean" -0.460866415568709
"298" 5 "WALKING" "tGravityAccMagstd" -0.52162345171192
"299" 5 "WALKING" "tBodyAccJerkMagmean" -0.589313870006622
"300" 5 "WALKING" "tBodyAccJerkMagstd" -0.589031268133113
"301" 5 "WALKING" "tBodyGyroMagmean" -0.602770284825828
"302" 5 "WALKING" "tBodyGyroMagstd" -0.664078383532781
"303" 5 "WALKING" "tBodyGyroJerkMagmean" -0.707383517582782
"304" 5 "WALKING" "tBodyGyroJerkMagstd" -0.734187493344371
"305" 5 "WALKING" "fBodyAccmeanX" -0.55123770513245
"306" 5 "WALKING" "fBodyAccmeanY" -0.440232431795033
"307" 5 "WALKING" "fBodyAccmeanZ" -0.696171811490066
"308" 5 "WALKING" "fBodyAccstdX" -0.492829885748675
"309" 5 "WALKING" "fBodyAccstdY" -0.422162171100331
"310" 5 "WALKING" "fBodyAccstdZ" -0.649351210748344
"311" 5 "WALKING" "fBodyAccJerkmeanX" -0.604769869438742
"312" 5 "WALKING" "fBodyAccJerkmeanY" -0.550991969857417
"313" 5 "WALKING" "fBodyAccJerkmeanZ" -0.768762357980132
"314" 5 "WALKING" "fBodyAccJerkstdX" -0.584013626983444
"315" 5 "WALKING" "fBodyAccJerkstdY" -0.491500434303907
"316" 5 "WALKING" "fBodyAccJerkstdZ" -0.798835563807947
"317" 5 "WALKING" "fBodyGyromeanX" -0.632239300829801
"318" 5 "WALKING" "fBodyGyromeanY" -0.71706218781457
"319" 5 "WALKING" "fBodyGyromeanZ" -0.537329127293278
"320" 5 "WALKING" "fBodyGyrostdX" -0.73573857718543
"321" 5 "WALKING" "fBodyGyrostdY" -0.702290390960265
"322" 5 "WALKING" "fBodyGyrostdZ" -0.669353687483444
"323" 5 "WALKING" "fBodyAccMagmean" -0.528503022745033
"324" 5 "WALKING" "fBodyAccMagstd" -0.594259529756954
"325" 5 "WALKING" "fBodyBodyAccJerkMagmean" -0.573176177044172
"326" 5 "WALKING" "fBodyBodyAccJerkMagstd" -0.613485123609272
"327" 5 "WALKING" "fBodyBodyGyroMagmean" -0.677355755703311
"328" 5 "WALKING" "fBodyBodyGyroMagstd" -0.715731148145695
"329" 5 "WALKING" "fBodyBodyGyroJerkMagmean" -0.748829309536424
"330" 5 "WALKING" "fBodyBodyGyroJerkMagstd" -0.735610602483444
"331" 6 "WALKING" "tBodyAccmeanX" 0.272376614181538
"332" 6 "WALKING" "tBodyAccmeanY" -0.0175697042641846
"333" 6 "WALKING" "tBodyAccmeanZ" -0.11599454136
"334" 6 "WALKING" "tBodyAccstdX" -0.505086085072062
"335" 6 "WALKING" "tBodyAccstdY" -0.368403670137262
"336" 6 "WALKING" "tBodyAccstdZ" -0.672512004586708
"337" 6 "WALKING" "tGravityAccmeanX" 0.688702063569231
"338" 6 "WALKING" "tGravityAccmeanY" 0.0162055455953846
"339" 6 "WALKING" "tGravityAccmeanZ" 0.0475199990906462
"340" 6 "WALKING" "tGravityAccstdX" -0.958898709015385
"341" 6 "WALKING" "tGravityAccstdY" -0.9509348864
"342" 6 "WALKING" "tGravityAccstdZ" -0.937910223507692
"343" 6 "WALKING" "tBodyAccJerkmeanX" 0.0813833604034769
"344" 6 "WALKING" "tBodyAccJerkmeanY" 0.000479281129661539
"345" 6 "WALKING" "tBodyAccJerkmeanZ" -0.00225896302076923
"346" 6 "WALKING" "tBodyAccJerkstdX" -0.531468310262154
"347" 6 "WALKING" "tBodyAccJerkstdY" -0.454437496885815
"348" 6 "WALKING" "tBodyAccJerkstdZ" -0.738955207627692
"349" 6 "WALKING" "tBodyGyromeanX" -0.0433611785374462
"350" 6 "WALKING" "tBodyGyromeanY" -0.0706129097498462
"351" 6 "WALKING" "tBodyGyromeanZ" 0.0973130293888923
"352" 6 "WALKING" "tBodyGyrostdX" -0.653800660041538
"353" 6 "WALKING" "tBodyGyrostdY" -0.626252072652308
"354" 6 "WALKING" "tBodyGyrostdZ" -0.599910232855692
"355" 6 "WALKING" "tBodyGyroJerkmeanX" -0.0829159966093231
"356" 6 "WALKING" "tBodyGyroJerkmeanY" -0.0454921005615385
"357" 6 "WALKING" "tBodyGyroJerkmeanZ" -0.0533610323667692
"358" 6 "WALKING" "tBodyGyroJerkstdX" -0.546009968372308
"359" 6 "WALKING" "tBodyGyroJerkstdY" -0.677635980501539
"360" 6 "WALKING" "tBodyGyroJerkstdZ" -0.526908306306892
"361" 6 "WALKING" "tBodyAccMagmean" -0.464770006998123
"362" 6 "WALKING" "tBodyAccMagstd" -0.483790606354154
"363" 6 "WALKING" "tGravityAccMagmean" -0.464770006998123
"364" 6 "WALKING" "tGravityAccMagstd" -0.483790606354154
"365" 6 "WALKING" "tBodyAccJerkMagmean" -0.551413652396923
"366" 6 "WALKING" "tBodyAccJerkMagstd" -0.502935062310769
"367" 6 "WALKING" "tBodyGyroMagmean" -0.549494852037046
"368" 6 "WALKING" "tBodyGyroMagstd" -0.579837818063692
"369" 6 "WALKING" "tBodyGyroJerkMagmean" -0.621936158532308
"370" 6 "WALKING" "tBodyGyroJerkMagstd" -0.644474485460492
"371" 6 "WALKING" "fBodyAccmeanX" -0.506174926221538
"372" 6 "WALKING" "fBodyAccmeanY" -0.392041410138769
"373" 6 "WALKING" "fBodyAccmeanZ" -0.683725945015385
"374" 6 "WALKING" "fBodyAccstdX" -0.506680276530492
"375" 6 "WALKING" "fBodyAccstdY" -0.396677793847908
"376" 6 "WALKING" "fBodyAccstdZ" -0.694365207233846
"377" 6 "WALKING" "fBodyAccJerkmeanX" -0.549394273848923
"378" 6 "WALKING" "fBodyAccJerkmeanY" -0.503558973703692
"379" 6 "WALKING" "fBodyAccJerkmeanZ" -0.720867157741538
"380" 6 "WALKING" "fBodyAccJerkstdX" -0.555346159400332
"381" 6 "WALKING" "fBodyAccJerkstdY" -0.437837459287385
"382" 6 "WALKING" "fBodyAccJerkstdZ" -0.755751144098462
"383" 6 "WALKING" "fBodyGyromeanX" -0.537201442069846
"384" 6 "WALKING" "fBodyGyromeanY" -0.621188724858462
"385" 6 "WALKING" "fBodyGyromeanZ" -0.507604207506462
"386" 6 "WALKING" "fBodyGyrostdX" -0.692862440004
"387" 6 "WALKING" "fBodyGyrostdY" -0.633236229753846
"388" 6 "WALKING" "fBodyGyrostdZ" -0.67302031484
"389" 6 "WALKING" "fBodyAccMagmean" -0.473974924380431
"390" 6 "WALKING" "fBodyAccMagstd" -0.570910289993846
"391" 6 "WALKING" "fBodyBodyAccJerkMagmean" -0.494882316238462
"392" 6 "WALKING" "fBodyBodyAccJerkMagstd" -0.516711262173969
"393" 6 "WALKING" "fBodyBodyGyroMagmean" -0.579130051151385
"394" 6 "WALKING" "fBodyBodyGyroMagstd" -0.657368673849846
"395" 6 "WALKING" "fBodyBodyGyroJerkMagmean" -0.651886909221538
"396" 6 "WALKING" "fBodyBodyGyroJerkMagstd" -0.660175875210246
"397" 7 "WALKING" "tBodyAccmeanX" 0.270211697814935
"398" 7 "WALKING" "tBodyAccmeanY" -0.0187904887668182
"399" 7 "WALKING" "tBodyAccmeanZ" -0.112492375388312
"400" 7 "WALKING" "tBodyAccstdX" -0.577518324748052
"401" 7 "WALKING" "tBodyAccstdY" -0.546403365345779
